Experiment ID                :  scatter
Problem Type                 :  PS
Data Input File Name         :  NA
Number of Runs               :  2
Generations per Run          :  200
Population Size              :  100
Selection Method             :  1
Fitness Scaling Type         :  1
Min or Max Fitness           :  min
Crossover Type               :  1
Crossover Rate               :  0.4
Mutation Type                :  1
Mutation Rate                :  0.005
Random Number Seed           :  75982
Number of Genes/Points       :  48
Size of Genes                :  1


47             682847.33           680438.64           
48             682867.15           680438.64           
49             682799.63           680438.64           
50             682893.43           680438.64           
51             682950.12           680438.64           
52             683038.53           681140.66           
53             683201.77           681140.66           
54             683183.8            681140.66           
55             683123.36           681140.66           
56             683100.64           681140.66           
57             683084.14           681140.66           
58             683297.76           681140.66           
59             683082.97           681140.66           
60             683172.62           681140.66           
61             683030.32           681140.66           
62             683286.8            681140.66           
63             683197.36           681140.66           
64             683068.09           681140.66           
65             682971.35           681140.66           
66             683047.81           681140.66           
67             682901.83           681140.66           
68             683005.0            681140.66           
69             682974.34           681140.66           
70             683131.47           681140.66           
71             683128.0            681140.66           
72             683110.71           681140.66           
73             683320.57           681140.66           
74             683307.1            681140.66           
75             683182.41           681140.66           
76             683025.27           681140.66           
77             683043.07           681140.66           
78             682799.08           681140.66           
79             682936.15           681140.66           
80             683204.22           681140.66           
81             683005.58           681140.66           
82             682726.52           681140.66           
83             682730.42           681140.66           
84             682673.06           681140.66           
85             682771.54           681140.66           
86             682753.87           681140.66           
87             682916.9            681140.66           
88             683207.21           681140.66           
89             683228.76           681140.66           
90             683281.98           681140.66           
91             683418.35           681140.66           
92             683602.69           681140.66           
93             683772.99           681140.66           
94             683840.16           681140.66           
95             683922.83           681140.66           
96             684029.61           681140.66           
97             684006.89           681140.66           
98             684212.9            681366.39           
99             684172.19           681366.39           
100            683998.23           681366.39           
101            684199.71           681366.39           
102            684576.02           681366.39           
103            684623.23           681366.39           
104            684377.33           681366.39           
105            684228.4            681366.39           
106            684049.68           681366.39           
107            684277.58           681366.39           
108            684427.91           681366.39           
109            684417.52           681366.39           
110            684299.77           681366.39           
111            684242.99           681366.39           
112            684441.1            681366.39           
113            684463.29           681366.39           
114            684297.76           681366.39           
115            684080.25           681366.39           
116            683803.17           681366.39           
117            683773.38           681366.39           
118            683718.0            681366.39           
119            683695.81           681366.39           
120            683712.41           681366.39           
121            683712.41           681366.39           
122            683652.83           681366.39           
123            683895.94           681366.39           
124            683933.32           681366.39           
125            683827.36           681366.39           
126            683708.22           681366.39           
127            684112.05           681366.39           
128            683814.17           681366.39           
129            683609.86           681366.39           
130            683806.57           681366.39           
131            683541.28           681366.39           
132            683675.63           681366.39           
133            683785.78           681366.39           
134            683697.82           681366.39           
135            683945.12           681366.39           
136            683776.79           681366.39           
137            683609.86           681366.39           
138            683666.63           681366.39           
139            683380.56           681366.39           
140            683183.84           681366.39           
141            683174.84           681366.39           
142            682997.52           681366.39           
143            682900.55           681366.39           
144            682741.22           681366.39           
145            682724.63           681366.39           
146            682833.38           681366.39           
147            682912.35           681366.39           
148            682831.98           681366.39           
149            682604.08           681366.39           
150            682613.08           681366.39           
151            682377.57           681366.39           
152            682328.4            681366.39           
153            682279.22           681366.39           
154            682337.39           681366.39           
155            682405.96           681366.39           
156            682338.79           681366.39           
157            682231.43           681366.39           
158            682055.51           681366.39           
159            682074.9            681366.39           
160            682161.47           681366.39           
161            682025.72           681366.39           
162            682045.11           681366.39           
163            681928.76           681366.39           
164            681870.58           681366.39           
165            681870.58           681366.39           
166            681812.41           681366.39           
167            681831.8            681366.39           
168            681812.41           681366.39           
169            681851.19           681366.39           
170            681754.23           681366.39           
171            681676.66           681366.39           
172            681715.45           681366.39           
173            681812.41           681366.39           
174            681793.01           681366.39           
175            681696.05           681366.39           
176            681579.7            681366.39           
177            681599.09           681366.39           
178            681599.09           681366.39           
179            681540.92           681366.39           
180            681657.27           681366.39           
181            681657.27           681366.39           
182            681560.31           681366.39           
183            681657.27           681366.39           
184            681599.09           681366.39           
185            681579.7            681366.39           
186            681463.35           681366.39           
187            681521.52           681366.39           
188            681521.52           681366.39           
189            681521.52           681366.39           
190            681502.13           681366.39           
191            681443.95           681366.39           
192            681443.95           681366.39           
193            681482.74           681366.39           
194            681424.56           681366.39           
195            681405.17           681366.39           
196            681443.95           681366.39           
197            681405.17           681366.39           
198            681443.95           681366.39           
199            681424.56           681366.39           

